열1,text,original,pos,pos_word,neg,neg_word,senti_score,sigmoid,predict,일치여부
0,직장에서 해고당할 것 같아서 불안해.,부정,0,[],2,"['해고', '당하']",-2,0.119 ,부정,O
1,당뇨 때문에 강제로 운동을 해야 해서 너무 짜증 나.,부정,0,[],2,"['당뇨', '짜증']",-2,0.119 ,부정,O
2,회사에서 임원 승진 팔 개월 만에 실적 부진으로 해임되어서 화가 나네.,부정,1,['승진'],1,['화'],0,0.500 ,부정,O
3,친했던 친구들이 나를 따돌리는 것 같아 충격이야.,부정,1,['친구'],1,['충격'],0,0.500 ,부정,O
4,믿었던 친구에 대한 배신감으로 너무 힘들어.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
5,결국 이렇게 시름시름 앓다가 나는 죽을까봐 점점 겁이나.,부정,0,[],1,['겁'],-1,0.269 ,부정,O
6,취업 준비를 포기할래. 더는 불합격 통보에 상처받고 싶지 않아.,부정,0,[],2,"['포기', '상처']",-2,0.119 ,부정,O
7,지금이 나이에 빚을 가지고 원금은 커녕 이자를 갚기도 급해.,부정,0,[],2,"['나이', '빚']",-2,0.119 ,부정,O
8,나 요즘 아주 편안해.,긍정,1,['편안'],0,[],1,0.731 ,긍정,O
9,싸움을 말리다가 오히려 상황을 안 좋게 만든 것 같아 마음이 무거워.,부정,1,['마음'],1,['안'],0,0.500 ,부정,O
10,오늘 당황스러운 일이 생겼어.,부정,0,[],1,['당황'],-1,0.269 ,부정,O
11,내 친구들보다 내가 더 건강이 안 좋은 것 같아서 열등감이 느껴져.,부정,2,"['친구', '건강']",1,['안'],1,0.731 ,긍정,X
12,내가 세상을 떠난 뒤 나를 기억하고 그리워해 줄 사람이 없을 것 같아 서글퍼.,부정,0,[],0,[],0,0.500 ,부정,O
13,자식들에게 회사를 물려줬는데 더욱더 번창하고 있다고 해서 너무 대견하고 기뻐.,긍정,0,[],0,[],0,0.500 ,부정,X
14,내가 질병에 걸리니까 동무들이 나한테 어떠냐고 물어봤어.,중립,0,[],0,[],0,0.500 ,부정,X
15,평소에 건강하다고 자부하고 살았는데 얼마 전에 손목이 아파서 병원 갔더니 염증이 있어서 물리치료를 받아야 한다네.,부정,1,['건강'],0,[],1,0.731 ,긍정,X
16,반에서 떠드는 몇 명 애들 때문에 다 같이 선생님한테 안 좋은 소리를 들었어.,부정,0,[],2,"['반', '안']",-2,0.119 ,부정,O
17,대학 졸업은 했는데 취업이 안돼서 걱정이야. 자꾸 툴툴대게 돼.,부정,0,[],2,"['안', '걱정']",-2,0.119 ,부정,O
18,애들이 다 취직하고 사회에서 어엿한 사회인으로 생활하는 것을 보면 집사람이 너무 고생한 거 같아 고마워.,긍정,1,['취직'],1,['고생'],0,0.500 ,부정,X
19,부적만 믿고 건강관리를 안 한 친구를 보면 참 한심하게 느껴져.,부정,1,['친구'],1,['안'],0,0.500 ,부정,O
20,나 요즘 너무 스트레스야!,부정,0,[],1,['스트레스'],-1,0.269 ,부정,O
21,있잖아. 얘기 좀 들어줘.,중립,0,[],0,[],0,0.500 ,부정,X
22,나 요즘 너무 혼란스러워,부정,0,[],1,['혼란'],-1,0.269 ,부정,O
23,왜 공부를 해야 하는지 모르겠어. 자꾸 공부를 하라고 해서 화가 나.,부정,0,[],2,"['왜', '화']",-2,0.119 ,부정,O
24,문소리만 나도 누가 오려나 기다리는 내가 참 슬프고 쓸쓸하네.,부정,0,[],1,['쓸쓸'],-1,0.269 ,부정,O
25,만약에 아내가 먼저 죽게 되면 나도 따라 죽어야겠어.,중립,0,[],0,[],0,0.500 ,부정,X
26,은퇴 후에 허무함이 커서 딸에게 말했는데 딸이 짜증을 냈어.,부정,0,[],1,['짜증'],-1,0.269 ,부정,O
27,내가 먹으려고 남긴 케이크를 누나가 다 먹을까 봐 걱정돼.,부정,0,[],1,['걱정'],-1,0.269 ,부정,O
28,코로나 때문에 직장에서 잘렸어.,부정,0,[],0,[],0,0.500 ,부정,O
29,날 따돌림 시켰던 친구들이 나에게 미안하다고 진심으로 사과했어.,부정,1,['친구'],2,"['따돌림', '미안']",-1,0.269 ,부정,O
30,건강에 고립감이 들어.,부정,1,['건강'],0,[],1,0.731 ,긍정,X
31,친구들에게는 자식이 선물해 줬다고 했지만 사실은 다 내가 구입한 거야.,중립,2,"['친구', '선물']",0,[],2,0.881 ,긍정,X
32,팀장님이 빨리 내라고 엄청 재촉했어. 짜증 나서 대충 작성해서 제출해버렸어.,부정,0,[],2,"['빨리', '짜증']",-2,0.119 ,부정,O
33,요즘은 학교에 가는 게 너무 무서워서 눈물이 나.,부정,0,[],1,['눈물'],-1,0.269 ,부정,O
34,친구가 수업 중에 핸드폰을 하다가 선생님께 혼났는데 친구가 갑자기 핸드폰을 바닥에 던져서 당황했어.,부정,2,"['친구', '친구']",2,"['갑자기', '당황']",0,0.500 ,부정,O
35,아들이 내 병간호를 하고 자면 코골이가 심해져서 다른 사람들에게 눈치가 보여.,부정,0,[],2,"['병간호', '눈치']",-2,0.119 ,부정,O
36,퇴근을 안 하는 주말에는 자기계발을 하고 싶었는데 자꾸 아무것도 안 하고 누워 있게 돼서 고민이야.,부정,0,[],4,"['안', '아무것', '안', '고민']",-4,0.018 ,부정,O
37,경제적으로 너무 힘들어. 아르바이트라도 구해야 할 텐데.,부정,0,[],0,[],0,0.500 ,부정,O
38,일정이 끝나고 집에 돌아가도 이제 아내가 집에 없어서 외로워.,부정,0,[],0,[],0,0.500 ,부정,O
39,드디어 오늘 광고주의 승낙이 떨어졌어. 그동안 얼마나 마음 졸였는지 몰라.,부정,2,"['드디어', '마음']",0,[],2,0.881 ,긍정,X
40,업무 스트레스로 화를 가끔 다스리기 어려워 고민이야.,부정,0,[],2,"['스트레스', '고민']",-2,0.119 ,부정,O
41,스물아홉 살이 되니까 점점 결혼을 해야 할 것 같다는 생각이 들어. ,중립,0,[],0,[],0,0.500 ,부정,X
42,늙으니 할 수 있는 일이 없어서 내 용돈벌이도 못하는 게 너무 속상해.,부정,0,[],0,[],0,0.500 ,부정,O
43,내가 낳아 키운 자식들도 나를 찾지 않아서 죽고 싶은 마음뿐이야.,부정,1,['마음'],0,[],1,0.731 ,긍정,X
44,나는 빵점이야. 정말 슬프다.,부정,0,[],0,[],0,0.500 ,부정,O
45,내 친구는 항상 자기 남자 친구한테 좋은 선물을 받는데 내 남자 친구는 취업 준비 중이야.,중립,4,"['친구', '친구', '선물', '친구']",0,[],4,0.982 ,긍정,X
46,직장에서 일하다 실수하는 바람에 상사한테 크게 혼났어. 난 왜 그런 일 하나 제대로 못 할까.,부정,0,[],5,"['실수', '왜', '그런', '제대로', '못']",-5,0.007 ,부정,O
47,노안이 와서 신문을 읽을 수가 없어.,부정,0,[],0,[],0,0.500 ,부정,O
48,따돌림을 당하는 친구를 도와주지 못해 부끄러워.,부정,1,['친구'],1,['따돌림'],0,0.500 ,부정,O
49,면접 합격 문자가 시스템 오류로 잘못 합격 문자가 온 거였어. 너무 당황스러워.,부정,2,"['합격', '합격']",2,"['잘못', '당황']",0,0.500 ,부정,O
50,친구가 이번에 부동산 투자가 잘돼서 크게 성공했어.,긍정,3,"['친구', '잘', '성공']",0,[],3,0.953 ,긍정,O
51,내 생일에 건강식품을 사주겠다던 딸이 사 오지 않아서 조금 실망했어.,부정,1,['생일'],1,['실망'],0,0.500 ,부정,O
52,집에만 있으면 뭘 해야 할까?,중립,0,[],0,[],0,0.500 ,부정,X
53,나는 남편이 술을 먹고 외박한다고 해도 별로 걱정이 되지 않아. 그만큼 남편을 믿기 때문이야.,긍정,0,[],2,"['별로', '걱정']",-2,0.119 ,부정,X
54,친한 친구에게 배신 당해서 너무 슬퍼.,부정,1,['친구'],1,['당하'],0,0.500 ,부정,O
55,아내가 교통사고를 당해 크게 다쳤다는 전화를 받았어. 걱정돼서 눈물이 나.,부정,0,[],3,"['당하', '걱정', '눈물']",-3,0.047 ,부정,O
56,건강 하나 만큼은 자신 있었는데 병에 걸렸어.,중립,2,"['건강', '자신']",1,['병'],1,0.731 ,긍정,X
57,나만 취업 못 했어. 주변에서 뭐 하고 지내는지 물어보면 어찌 대답해야 할지 막막하고 괴로워.,부정,0,[],1,['못'],-1,0.269 ,부정,O
58,오늘 연명치료 거부서에 사인하고 왔어.,중립,0,[],0,[],0,0.500 ,부정,X
59,폐암 항암치료가 이제 막바지야. 조금만 기다리면 완치가 될 거 같아서 기뻐.,긍정,1,['완치'],2,"['폐암', '항암']",-1,0.269 ,부정,X
60,연락이 없던 친구한테 간만에 연락이 왔는데 돈 문제 때문에 연락이 온 거였어.,중립,2,"['친구', '간만']",1,['문제'],1,0.731 ,긍정,X
61,내 결혼식에 정말 많은 사람들이 찾아와서 너무 기뻤어.,긍정,0,[],0,[],0,0.500 ,부정,X
62,줄곧 병원에 있다가 퇴원하고 처음 명절인데 며느리들이 아무도 오질 않았어.,중립,0,[],0,[],0,0.500 ,부정,X
63,자식들에게 폐 안 끼치려고 노후에 필요한 것들을 조심히 준비 중이야.,중립,0,[],1,['안'],-1,0.269 ,부정,X
64,남자 친구 때문에 속상해서 잔뜩 툴툴대고 왔어.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
65,요즘 회사 출근하는 게 너무 괴로워.,부정,0,[],0,[],0,0.500 ,부정,O
66,그제 병원에 다녀왔는데 무릎이 매우 좋지 않다는 결과가 나왔어.,긍정,0,[],0,[],0,0.500 ,부정,X
67,이번에 아내가 나에게 용돈을 줬어.,중립,0,[],0,[],0,0.500 ,부정,X
68,어떻게 그럴 수가 있지? 친구가 그 직장 동료 편을 들다니 너무 어이가 없어.,부정,2,"['친구', '동료']",1,['어이'],1,0.731 ,긍정,X
69,자식들과 크게 다투고 큰 상처를 받았어.,부정,0,[],1,['상처'],-1,0.269 ,부정,O
70,노후 때문에 부동산 투기하던 친구가 이번에 세금을 많이 물게 됐다고 나한테 말했는데 한심해.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
71,부모에게 받은 재산으로 재산세 얘기하는데 나는 아무것도 없어서 기분이 안 좋아.,부정,1,['기분'],2,"['아무것', '안']",-1,0.269 ,부정,O
72,혼자 시골살이 중인데 폭우가 와서 전기가 끊기는 바람에 한 달째 집에 갇혀 있어.,부정,0,[],1,['혼자'],-1,0.269 ,부정,O
73,내가 성격이 너무 급하다 보니까 때로는 상대방을 당황하게 할 때가 있나 봐.,중립,0,[],1,['당황'],-1,0.269 ,부정,X
74,요즘 내가 늘 느끼는 것이지만 무인도에 혼자서 살고 싶다는 생각이 간절해.,중립,0,[],1,['혼자'],-1,0.269 ,부정,X
75,예전에 파고다 공원 지나면서 왜 노인들이 이렇게 모여 있나 생각을 했는데 이젠 이해가 좀 되는구먼.,중립,0,[],1,['왜'],-1,0.269 ,부정,X
76,우리 형은 배신자야 너무해.,부정,0,[],0,[],0,0.500 ,부정,O
77,요즘 친구와 내기를 했어. 다이어트를 동시에 해서 먼저 십 킬로 빼는 사람이 이기는 거로.,중립,1,['친구'],0,[],1,0.731 ,긍정,X
78,남자친구가 자꾸 손가락 사이즈를 물어보는데 솔직히 대답해 주기 싫어.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
79,마을회관 할머니들이 은근히 나를 미워하는 거 같아 화가 치밀어.,부정,0,[],1,['화'],-1,0.269 ,부정,O
80,내 친구가 다른 친구와 친해져서 질투나.,부정,2,"['친구', '친구']",1,['질투'],1,0.731 ,긍정,X
81,내일이 시험인데 오늘 공부를 하나도 안 해버렸어. 걱정돼.,부정,0,[],2,"['안', '걱정']",-2,0.119 ,부정,O
82,요새 오십이 되면서 기억력이 많이 떨어진 것 같아. 회사에서 일을 잘 할 수 있을지 걱정이야.,부정,1,['잘'],1,['걱정'],0,0.500 ,부정,O
83,심부전증으로 쓰러진 후 이제 나이가 먹은 것을 느끼고 자신감도 떨어지니 눈물이 나려 해.,부정,0,[],2,"['나이', '눈물']",-2,0.119 ,부정,O
84,나는 그냥 장난으로 친구를 때렸는데 친구가 나를 신고했어 처벌받을까 두려워.,부정,2,"['친구', '친구']",0,[],2,0.881 ,긍정,X
85,오늘 또 상사에게 구박당했어.,부정,0,[],1,['당하'],-1,0.269 ,부정,O
86,아픈 데도 없는데 나이가 많다는 이유로 돈이 계속 들어가.,부정,0,[],1,['나이'],-1,0.269 ,부정,O
87,엄마가 공부 못한다고 화냈어.,부정,0,[],0,[],0,0.500 ,부정,O
88,내가 화장실에 있는데 갑자기 나에게 더러운 물을 쏟았어. 너무 화가 나.,부정,0,[],2,"['갑자기', '화']",-2,0.119 ,부정,O
89,나는 이제 곧 죽을 텐데 친구를 만들 필요도 없을 것 같아서 허무해.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
90,큰아들이 오늘 퇴원했어.,긍정,0,[],0,[],0,0.500 ,부정,X
91,아내에게 노인 일자리를 찾아서 함께 돈을 벌자고 제안했는데 아내는 별로 하고 싶지 않는 눈치여서 속상하네.,부정,0,[],2,"['별로', '눈치']",-2,0.119 ,부정,O
92,친구 가게를 도와주다가 실수를 해서 손님 한 명에게 돈을 받지 못해서 미안하네.,부정,1,['친구'],1,['미안'],0,0.500 ,부정,O
93,병원에 입원해 있으니 몸도 마음도 차갑게 변한 것 같아.,부정,1,['마음'],0,[],1,0.731 ,긍정,X
94,오십살 인데 은퇴할 생각하니까 너무 억울해.,부정,0,[],1,['억울'],-1,0.269 ,부정,O
95,팀 동료 일하는 게 한심해서 아주 스트레스받고 있어.,부정,1,['동료'],1,['스트레스'],0,0.500 ,부정,O
96,나이가 들며 건강을 챙겨야 하는데 너무 무관심했어.,중립,1,['건강'],1,['나이'],0,0.500 ,부정,X
97,너무 욕심을 부렸나 봐.,부정,0,[],0,[],0,0.500 ,부정,O
98,가끔 억울한 일이 생기는 것 같아.,부정,0,[],1,['억울'],-1,0.269 ,부정,O
99,작년부터 뇌수막염 후유증으로 감각이 둔해져 자전거를 타지 못하게 되었어.,부정,0,[],0,[],0,0.500 ,부정,O
100,나 공부 못한다고 아빠가 밖에 나가서 돈이라도 벌어 오라고 내쫒았어.,중립,0,[],0,[],0,0.500 ,부정,X
101,이제 어느 정도 직장에서 자리를 잡고 나니 방어적으로 업무를 하는 것 같아.,부정,0,[],0,[],0,0.500 ,부정,O
102,완전 어이가 없다. 매일 같이 놀아 놓고 뒤에선 다른 사람들한테 내 흉을 보고 다니는 거 있지?,부정,0,[],1,['어이'],-1,0.269 ,부정,O
103,남들 앞에서 약한 모습을 보이기가 싫어서 억지로 괜찮은 척 웃는 내 자신이 미워.,부정,1,['자신'],0,[],1,0.731 ,긍정,X
104,내가 평소에 말이 좀 험한데 무서운 팀장님 앞에서 말실수할까 봐 걱정이야.,부정,0,[],2,"['말실수', '걱정']",-2,0.119 ,부정,O
105,졸업하고 취직을 못하고 있는 나를 무시하는 친구들이 너무 미워.,부정,2,"['취직', '친구']",1,['무시'],1,0.731 ,긍정,X
106,은퇴 준비나 노후준비를 하면서 후회스러웠던 부분은 왜 진작 준비하지 못했을까 하는 거야.,부정,0,[],2,"['후회', '왜']",-2,0.119 ,부정,O
107,당연히 날 위로해 줄 거라고 믿었던 친구가 다른 애들과 함께 나를 손가락질 하고 있었어.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
108,노인정에서 이제 내가 제일 머리숱이 없다니 화가 나.,부정,1,['제일'],1,['화'],0,0.500 ,부정,O
109,언니가 자기 돈으로는 안사고 자꾸 내 인슐린 주사기를 가져가.,부정,0,[],0,[],0,0.500 ,부정,O
110,남자친구 몰래 클럽에 간 적 있는데 남자친구한테는 간적 없다고 거짓말했어.,중립,2,"['친구', '친구']",0,[],2,0.881 ,긍정,X
111,김 사장은 나의 실수를 빌미 삼아 거액의 돈을 요구했어.,부정,0,[],2,"['실수', '요구']",-2,0.119 ,부정,O
112,지인에게 돈을 사기당해서 정말 배신감이 커.,부정,0,[],1,['당하'],-1,0.269 ,부정,O
113,내가 아파서 아들이 모은 돈과 퇴직금까지 써버린 것이 평생의 한이야.,부정,0,[],0,[],0,0.500 ,부정,O
114,친하다고 믿었던 친구에게 배신당했어.,부정,1,['친구'],1,['당하'],0,0.500 ,부정,O
115,요즘 엄마가 아프셔서 너무 걱정이야.,부정,0,[],1,['걱정'],-1,0.269 ,부정,O
116,아빠는 왜 내가 뭘 하고 싶은지 관심조차 없는 건지 화가 나.,부정,1,['관심'],2,"['왜', '화']",-1,0.269 ,부정,O
117,딸이 대학이 우선이라는 내 말을 들으려고도 안 해서 화가 나.,부정,0,[],2,"['안', '화']",-2,0.119 ,부정,O
118,노후 준비를 위해 개인연금에 가입하려고 하는데 돈이 여유롭지 않아서 망설여져.,중립,1,['여유'],0,[],1,0.731 ,긍정,X
119,요즘 세상에는 참 끔찍한 일들이 많이 일어나.,부정,0,[],0,[],0,0.500 ,부정,O
120,이번에 우리 과 친구가 교통사고로 죽었어.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
121,아내가 나와 싸우고 집을 나갔어. 너무 걱정된다.,부정,0,[],1,['걱정'],-1,0.269 ,부정,O
122,오늘 너무 기쁜 소식을 들었어!,긍정,0,[],0,[],0,0.500 ,부정,X
123,나를 괴롭힌 친구들이 갑자기 웃으면서 말을 거는 데 불안했어.,부정,1,['친구'],1,['갑자기'],0,0.500 ,부정,O
124,몇 달 전에 드디어 기다리던 임신을 하게 되었어.,긍정,1,['드디어'],0,[],1,0.731 ,긍정,O
125,친구가 다이어트를 시작한다는 이야기를 들었더니 너무 화가 나.,부정,1,['친구'],1,['화'],0,0.500 ,부정,O
126,내 연애를 시기하는 악의적인 세력이 있어.,부정,1,['연애'],0,[],1,0.731 ,긍정,X
127,남편이 얼마 전에 받은 퇴직금을 주식에 투자해 버렸대. 어이가 없다.,부정,0,[],1,['어이'],-1,0.269 ,부정,O
128,친구한테 왜 화를 냈을까? 정말 후회된다.,부정,1,['친구'],2,"['왜', '후회']",-1,0.269 ,부정,O
129,나는 휠체어를 타는데 가족보다 간병인을 원해. 그런데 항상 돈 때문에 내 마음이 불편해.,부정,2,"['가족', '마음']",1,['불편'],1,0.731 ,긍정,X
130,내가 따돌림을 당하고 있는데 아무도 관심이 없는 것 같아. 슬프고 외로워.,부정,1,['관심'],1,['따돌림'],0,0.500 ,부정,O
131,나이가 드니까 친구가 무슨 소용인가 싶어. 가족도 몸뚱이 밖에 없는 나를 버리는 상황에. 사람들이 너무 싫다.,부정,1,['친구'],1,['나이'],0,0.500 ,부정,O
132,고혈압으로 고생하고 있어.,부정,0,[],2,"['고혈압', '고생']",-2,0.119 ,부정,O
133,결혼 문턱에서 미끄러질 것 같아. 여자친구 가족의 반대가 심해서 좌절되네.,부정,2,"['친구', '가족']",0,[],2,0.881 ,긍정,X
134,상사의 비위를 맞추는 것도 질렸어.,부정,0,[],1,['비위'],-1,0.269 ,부정,O
135,같은 주제로 온라인에 글 올렸는데 내 글보다 친구 글에 더 좋아요가 많네.,중립,1,['친구'],0,[],1,0.731 ,긍정,X
136,곧 서른을 앞두고 대인관계를 돌아보게 되는 순간이 많아졌어.,중립,0,[],0,[],0,0.500 ,부정,X
137,경비원으로 일하는 나를 한 학생이 욕하면서 때렸지만 힘이 없어서 저항할 수 없었어.,부정,0,[],0,[],0,0.500 ,부정,O
138,모의고사 성적이 나왔는데 공부 미리 안 해놓은 걸 후회 중이야.,부정,0,[],2,"['안', '후회']",-2,0.119 ,부정,O
139,선생님은 내가 용기를 내서 얘기를 해도 무시를 하셔. 너무 화가 나.,부정,0,[],2,"['무시', '화']",-2,0.119 ,부정,O
140,결혼생활이 너무 힘들고 배신당한 기분이 들어. 남편이 바람피우는 걸 목격했거든.,부정,1,['기분'],1,['당하'],0,0.500 ,부정,O
141,연애하고 더 혼란스러워.,부정,1,['연애'],1,['혼란'],0,0.500 ,부정,O
142,갑자기 부모님이 이혼하신다고 해서 당혹스러워.,부정,0,[],2,"['갑자기', '당혹']",-2,0.119 ,부정,O
143,건강이 걱정돼 건강검진을 받아봐야겠어.,부정,1,['건강'],1,['걱정'],0,0.500 ,부정,O
144,어제 오랫동안 연락이 없던 친구에게 연락이 왔어. 돈 빌려달라고 하더라 허무하네.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
145,아들이 학교에서 전교 일등을 했다며 성적표를 보여줬어!,긍정,0,[],0,[],0,0.500 ,부정,X
146,올해 취업이 너무 어려운 시기였는데 다행히 중간 합격했다는 연락을 받았어.,긍정,2,"['다행히', '합격']",0,[],2,0.881 ,긍정,O
147,입사하고 싶은 기업이 있는데 탈락될까봐 두려워.,부정,0,[],0,[],0,0.500 ,부정,O
148,친했던 친구들이 전부 나를 피하고 있어 슬퍼.,부정,1,['친구'],0,[],1,0.731 ,긍정,X
